"Date","Price","Open","High","Low","Vol.","Change"
"Sep 04, 2014","849.43","852.18","852.58","848.62","-","-0.25%"
"Sep 03, 2014","851.60","854.80","855.64","850.62","-","0.45%"
"Sep 02, 2014","847.79","839.37","850.46","838.58","-","1.25%"
"Sep 01, 2014","837.36","835.75","837.48","835.43","-","0.36%"
"Aug 29, 2014","834.37","834.34","837.75","832.57","-","-0.21%"
"Aug 28, 2014","836.12","836.57","836.70","833.01","-","-0.41%"
"Aug 27, 2014","839.53","840.66","844.38","836.08","-","0.03%"
"Aug 26, 2014","839.25","844.07","844.77","838.94","-","-0.50%"
"Aug 25, 2014","843.49","844.54","844.87","841.01","-","0.35%"
"Aug 22, 2014","840.57","846.47","846.99","839.39","-","-0.33%"
"Aug 21, 2014","843.34","838.78","844.55","838.48","-","1.01%"
"Aug 20, 2014","834.87","837.85","838.20","834.13","-","-0.07%"
"Aug 19, 2014","835.43","834.75","836.41","833.31","-","0.79%"
"Aug 18, 2014","828.86","830.49","830.49","826.68","-","-0.08%"
"Aug 15, 2014","829.54","830.03","830.45","827.34","-","-0.03%"
"Aug 14, 2014","829.75","828.29","830.86","827.11","-","0.67%"
"Aug 13, 2014","824.25","819.07","825.52","818.83","-","0.38%"
"Aug 12, 2014","821.16","820.64","824.33","819.68","-","0.41%"
"Aug 11, 2014","817.81","814.24","819.85","810.61","-","1.96%"
"Aug 08, 2014","802.07","814.78","815.35","799.46","-","-2.47%"
"Aug 07, 2014","822.40","819.15","822.40","812.31","-","0.40%"
"Aug 06, 2014","819.11","825.97","825.97","817.00","-","-1.10%"
"Aug 05, 2014","828.22","837.88","837.98","827.47","-","-0.93%"
"Aug 04, 2014","836.01","836.80","839.77","834.51","-","-0.58%"
"Aug 01, 2014","840.90","840.41","844.32","839.31","-","-0.63%"
"Jul 31, 2014","846.19","853.69","854.77","846.10","-","-0.28%"
"Jul 30, 2014","848.57","847.85","849.18","845.95","-","0.13%"
"Jul 29, 2014","847.43","845.96","848.55","845.50","-","0.34%"
"Jul 28, 2014","844.54","839.69","846.03","839.69","-","0.39%"
"Jul 25, 2014","841.25","836.43","841.25","836.43","-","0.80%"
"Jul 24, 2014","834.56","836.66","838.64","831.67","-","-0.20%"
"Jul 23, 2014","836.27","838.46","839.30","835.07","-","-0.08%"
"Jul 22, 2014","836.98","835.00","838.94","834.84","-","0.64%"
"Jul 18, 2014","831.66","828.11","831.68","825.20","-","-0.75%"
"Jul 17, 2014","837.92","840.50","842.90","836.36","-","-0.01%"
"Jul 16, 2014","837.98","837.55","841.16","836.16","-","0.00%"
"Jul 15, 2014","837.94","836.19","841.88","836.12","-","0.71%"
"Jul 14, 2014","832.02","826.67","833.33","825.79","-","0.80%"
"Jul 11, 2014","825.43","821.78","826.47","820.76","-","-0.37%"
"Jul 10, 2014","828.50","836.55","837.05","828.11","-","-0.92%"
"Jul 09, 2014","836.22","831.16","836.67","830.46","-","-0.27%"
"Jul 08, 2014","838.47","837.56","841.90","833.51","-","-0.43%"
"Jul 07, 2014","842.06","844.84","846.93","842.06","-","-0.45%"
"Jul 04, 2014","845.83","848.56","848.56","844.67","-","0.50%"
"Jul 03, 2014","841.60","846.25","846.25","839.74","-","-0.24%"
